text,cmp_code,pos
"We face three connected crises: Healing the planet from the effects of an unstable, unsustainable economy.",416,16
"Creating a more equal society, reversing the trend towards a society divided between poverty and great wealth.",503,17
Creating truly democratic central and local government that governs for the common good.,202,18
To help heal the planet we will: Make achieving international agreement and action to limit climate change to below 2 degrees C of warming the major foreign policy priority.,501,19
"Invest in an £85 billion public programme of renewable electricity generation,",501,20
flood defences,501,21
and building insulation.,501,22
"Support local sustainable agriculture, with respect for animals and wild places.",501,23
Cut emissions by providing cheaper public transport and encouraging cycling and walking.,501,24
"To become more equal and support our public services we will: End privatisation in the National Health Service,",504,25
"provide proper funding and free social care for the elderly,",504,26
and combat the loneliness of the elderly.,504,27
"Let teachers teach in properly funded democratically controlled schools,",506,28
"end SATS (Standard Assessment Tests), league tables and academies,",506,29
and introduce free early education and childcare.,506,30
End tuition fees and cancel student debt.,506,31
"Provide 500,000 social homes for rent over the five-year Parliament,",504,32
control excessive rents and achieve house price stability.,412,33
Increase public spending to almost half of national income.,409,34
Make tax fair and crack down vigorously on tax avoidance and evasion.,503,35
"Make the minimum wage a living wage for all, with a target of £10 per hour by 2020.",412,36
Make the highest wage in any organisation no more than ten times the lowest wage.,412,37
Create jobs and help small business by reducing employers National Insurance.,402,38
Bring rail back into public ownership.,413,39
"Ensure respect for everyone whatever their ethnicity, gender, age, religious belief or non-belief, sexual orientation, class, size, disability or other status.",503,40
Create over 1 million jobs through our programme of green investment and restoring the public sector.,701,41
To create a truly democratic central and local government,202,42
and a common citizenship,601,43
and to promote peace based on democratic principles we will:,106,44
Reform the benefits system.,504,45
End workfare and sanctions.,504,46
Double Child Benefit,504,47
and pay a pension that people can live on.,504,48
"In the longer term, unite tax and benefits in a Basic Income system covering everyone.",504,49
"Fund local government adequately and set democratically elected local authorities free to decide how to run education, public transport and other local services and to raise local taxes.",301,50
Bring in a fair voting system involving proportional representation.,202,51
Respect immigrants for the contribution they make,503,52
and control immigration fairly.,403,53
Decommission the Trident nuclear deterrent system,105,54
and promote peacemaking.,106,55
"Imagine a world of efficient and welcoming public services,",504,57
"coordinated action on climate change,",107,58
"equality,",503,59
"workers rights,",701,60
"an economy that works for people and planet at a human scale,",416,61
"and real care for the future,",501,63
including young people now.,706,64
"Imagine a world in which we protect the planet, its land and its oceans, and the plants, animals and people that live on it.",501,65
"Imagine a world of security for all,",503,66
"of social security as opportunity not dependency,",504,67
"of lives lived more locally, with services close to where people need them",503,68
"and connected by affordable, energy-efficient public transport.",501,69
"Imagine a government that believes in society,",606,70
"in our common humanity,",606,71
"in a culture of hope,",606,72
and in our capacity to govern ourselves.,606,73
"Imagine a government that believes in the common good,",606,74
"and that the best way of achieving it is by working for each other, rather than against each other.",606,75
Imagine honest government.,304,76
Thats the world the Green Party wants to make real.,606,77
Its also the world that most of us want.,606,78
"When asked to vote for policies rather than parties or personalities, Green policies consistently come out on top.",501,79
And its so different from what we have now.,305,80
"In consumer societies like ours, the common good has been forgotten.",606,81
"So much government has been outsourced, put out to tender.",606,82
The reins have been handed over to the unfettered market and big corporations.,403,83
"They are given as the reason why we cant do things (such as bring the railways back into public ownership),",413,84
why we must do things (lower taxes for the rich),503,85
and how we must do things (privatise public utilities).,413,86
"When government has been active its been to make the rich richer and the poor poorer,",503,87
while blocking action to prevent ecological catastrophe.,501,88
This has had disastrous consequences for the common good and for the protection of the natural world.,501,89
"Back in the 1970s a determined assault on public life began, and the market became the model and measure of life.",416,90
"Since then, successive governments of all colours have found ways to justify and deepen the role of the market in our lives.",416,91
"Local government? Check out your nearest website or leaflet: youre likely to be referred to as a customer, not a citizen.",301,92
Privatisation? Look at one of the most recent  Royal Mail.,413,93
"This was owned by you and me, then it was sold for a song,",606,94
with windfall profits for companies doing the only job the market really understands  maximising shareholder profit.,403,95
"The public lost £1 billion, while George Osbornes best mans hedge fund pocketed £36 million.",304,96
Outsourcing? This is what governments do when theyve given up governing.,304,97
"The result is a series of scandals from companies with increasingly infamous names  G4S, SERCO, ATOS  over which we have no control.",403,98
"Zero-hours contracts? These are designed for companies looking to maximise profits through labour flexibility, but hopeless if you have regular bills to pay.",701,99
The market has been in charge for so long that it dominates our imagination and colours our view of ourselves.,403,100
The market is short sighted and short term.,403,101
Its time for change  time to put the market to work for the common good and for people to be put back in charge.,403,102
The Green Party knows that:,305,103
Its hard to be a citizen when life tells you that you are a consumer;,606,104
